ped_id,bond_type,gt_mean,gt_std,pred_mean,pred_std
PED00229,C_N,1.3359010421207973,0.014991798303111075,1.3506560872112003,0.050823556001404945
PED00231,CA_C,1.496317668069493,0.007385361073260185,1.5297251481359657,0.0008341957234342354
PED00231,N_CA,1.4348517454754224,0.006984536387629876,1.4346991404620084,0.008308814585735692
PED00231,C_N,1.3431505619911919,0.011373584189346803,1.346130647318704,0.06360145598574961
PED00233,CA_C,1.515089628467193,0.01861203561031905,1.5295274107731307,0.0012080655230749713
PED00233,N_CA,1.450218844138659,0.018543549846151527,1.4365428275328413,0.009387820891655716
PED00233,C_N,1.341180248962816,0.018440575416179897,1.3723860487688417,0.08066202655243349
PED00238,CA_C,1.5010321119698609,0.011075575692137955,1.5297250679406253,0.0008341918859932903
PED00238,N_CA,1.4385239291191103,0.010156050203991905,1.4346991135857323,0.00830881713492125
PED00238,C_N,1.343233521779378,0.014036707431221717,1.3525058326834722,0.05954251220318747
PED00442,CA_C,1.5425368089833635,0.00768595073866237,1.5299691588460034,0.0013211267098468167
PED00442,N_CA,1.473244735985312,0.006607938154921533,1.4368706567536178,0.009827174155025032
PED00442,C_N,1.3393309250733791,0.006035563304336648,1.367982024905009,0.087543712786855
PED00468,CA_C,1.5408196248014767,0.006148921634612715,1.5295744628210863,0.0012889910351998079
PED00468,N_CA,1.4699334034423033,0.005675895155127862,1.4412300179302693,0.006056800922762935
PED00468,C_N,1.3376254926583706,0.0047941229506948575,1.3603046776290633,0.08651970153664945
PED00483,CA_C,1.5414619097055173,0.007526844129794061,1.5297136298581666,0.001263349246723811
PED00483,N_CA,1.472932076991773,0.006898953102518396,1.4344625864543168,0.009129170476153924
PED00483,C_N,1.3374867007732392,0.004420471885316309,1.3625204707622527,0.08364350272936921
PED00484,CA_C,1.5417739661673568,0.007533298705569771,1.529904630817733,0.0013441592779477336
PED00484,N_CA,1.4726830906051023,0.006409556747797224,1.4386174505740614,0.008345503003281702
PED00484,C_N,1.3385739999086084,0.005557473274166812,1.3687916307214278,0.08871009907001433
PED00493,CA_C,1.529000605481181,0.00040625474034243573,1.529199706726703,0.0011359703797732938
PED00493,N_CA,1.416001401549548,0.000407746647877244,1.4391636311222071,0.007775037038902358
PED00493,C_N,1.3199974072470646,0.0004083615256052926,1.3216140710414572,0.10629597143269005
PED00494,CA_C,1.5290002782203311,0.0004062531283517901,1.529199713052899,0.0011359621460339678
PED00494,N_CA,1.4159988485403523,0.00040640299708995643,1.4391636215791912,0.007775034999886871
PED00494,C_N,1.3199996497315611,0.00040799287718767653,1.321285632177397,0.10615579552547619
PED00495,CA_C,1.529001764439133,0.0004086528523726935,1.529199709324398,0.0011359658407216653
PED00495,N_CA,1.4160013162205072,0.00040815123457434773,1.43916363457641,0.0077750269890740405
PED00495,C_N,1.320000321680042,0.00040835484733377626,1.3205239446595765,0.10301614129668714
PED00536,CA_C,1.5399697993055057,0.03031051006571909,1.529490449100301,0.0013374152733886186
PED00536,N_CA,1.4721290931839874,0.029465605761902096,1.436589015002412,0.009600822959448628
PED00536,C_N,1.338588017692753,0.024772852613327966,1.4037238430480163,0.12675374391209884
